project_gid,project_name,task_gid,task_name,section,canonical_phase,completed,created_at,completed_at,assignee,num_subtasks,resource_subtype,tracked_minutes,n_activity,n_comments,task_custom_fields
1205095744696654,ACE Ascent Phase II,1205751901492136,RC1 Leadership II,Post-Production Leadership II,Post-Production Leadership II,True,2023-10-18T19:55:44.541Z,2023-11-17T17:56:48.999Z,,2,default_task,0.0,0,0,"{""Phase"": ""Post-Production"", ""Status"": ""Complete"", ""R+P/Leadership"": ""Leadership""}"
1205095744696654,ACE Ascent Phase II,1205751901492138,RC2 Leadership II,Post-Production Leadership II,Post-Production Leadership II,True,2023-10-18T19:55:53.716Z,2023-11-17T17:56:50.530Z,,2,default_task,0.0,0,0,"{""Phase"": ""Post-Production"", ""Status"": ""Complete"", ""R+P/Leadership"": ""Leadership""}"
1205095744696654,ACE Ascent Phase II,1205751901492140,FC1 Leadership II,Post-Production Leadership II,Post-Production Leadership II,True,2023-10-18T19:55:58.634Z,2023-12-14T18:51:03.150Z,,2,default_task,0.0,0,0,"{""Phase"": ""Post-Production"", ""Status"": ""Complete"", ""R+P/Leadership"": ""Leadership""}"
1205095744696654,ACE Ascent Phase II,1205096111292856,MILESTONE: Post-Production Complete,Post-Production Leadership II,Post-Production Leadership II,True,2023-07-19T19:39:13.999Z,2023-12-14T18:51:06.206Z,,0,milestone,0.0,0,0,"{""Phase"": ""Post-Production"", ""Status"": ""Complete"", ""R+P/Leadership"": ""Leadership""}"
1205980079388145,Teaching Everyone,1206206334664044,M0,Design - Course Design & Development,Design - Course Design & Development,True,2023-12-19T18:11:19.522Z,2023-12-19T18:19:50.885Z,Yi Lu,2,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Design""}"
1205980079388145,Teaching Everyone,1206206334664046,M1,Design - Course Design & Development,Design - Course Design & Development,True,2023-12-19T18:11:21.655Z,2023-12-19T18:21:11.736Z,Yi Lu,2,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Design""}"
1205980079388145,Teaching Everyone,1206206334664048,M2,Design - Course Design & Development,Design - Course Design & Development,True,2023-12-19T18:11:23.107Z,2023-12-19T18:21:14.270Z,Yi Lu,2,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Design""}"
1205980079388145,Teaching Everyone,1206206334664050,M3,Design - Course Design & Development,Design - Course Design & Development,True,2023-12-19T18:11:24.547Z,2023-12-19T18:57:26.102Z,Yi Lu,3,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Design""}"
1205980079388145,Teaching Everyone,1206206334664052,M4,Design - Course Design & Development,Design - Course Design & Development,True,2023-12-19T18:11:25.918Z,2024-01-31T19:44:28.691Z,Yi Lu,3,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Design""}"
1205980079388145,Teaching Everyone,1206206334664054,M5,Design - Course Design & Development,Design - Course Design & Development,True,2023-12-19T18:11:26.930Z,2024-03-07T16:42:23.555Z,Yi Lu,3,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Design""}"
